id,make_model_trim_id,engine_type,fuel_type,cylinders,size,horsepower_hp,horsepower_rpm,torque_ft_lbs,torque_rpm,valves,valve_timing,cam_type,drive_type,transmission,make_model_trim
11,11,gas,premium unleaded (recommended),V6,5.0,290,6200.0,267.0,4700.0,24.0,Variable,Single overhead cam (SOHC),all wheel drive,10-speed shiftable automatic,"{'id': 11, 'make_model_id': 2, 'year': 2023, 'name': 'SH-AWD', 'description': 'SH-AWD 4dr SUV AWD (3.5L 6cyl 10A)', 'msrp': 51250, 'invoice': 49955, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 2, 'make_id': 1, 'name': 'MDX', 'make': {'id': 1, 'name': 'Acura'}}}"
12,12,gas,premium unleaded (recommended),V6,3.0,355,5500.0,354.0,1400.0,24.0,Variable,Double overhead cam (DOHC),all wheel drive,10-speed shiftable automatic,"{'id': 12, 'make_model_id': 2, 'year': 2023, 'name': 'Type S', 'description': 'Type S 4dr SUV AWD (3.0L 6cyl Turbo 10A)', 'msrp': 67350, 'invoice': 63101, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 2, 'make_id': 1, 'name': 'MDX', 'make': {'id': 1, 'name': 'Acura'}}}"
13,13,mild hybrid,premium unleaded (recommended),I4,2.0,261,,273.0,,16.0,Variable,Double overhead cam (DOHC),all wheel drive,7-speed automated manual,"{'id': 13, 'make_model_id': 3, 'year': 2023, 'name': 'Premium S line', 'description': 'Premium S line 2dr Coupe AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM)', 'msrp': 46200, 'invoice': 43428, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 3, 'make_id': 2, 'name': 'A5', 'make': {'id': 2, 'name': 'Audi'}}}"
14,14,mild hybrid,premium unleaded (recommended),I4,2.0,261,,273.0,,16.0,Variable,Double overhead cam (DOHC),all wheel drive,7-speed automated manual,"{'id': 14, 'make_model_id': 3, 'year': 2023, 'name': 'Premium Plus S line', 'description': 'Premium Plus S line 2dr Coupe AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM)', 'msrp': 51800, 'invoice': 48692, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 3, 'make_id': 2, 'name': 'A5', 'make': {'id': 2, 'name': 'Audi'}}}"
15,15,mild hybrid,premium unleaded (recommended),I4,2.0,261,,273.0,,16.0,Variable,Double overhead cam (DOHC),all wheel drive,7-speed automated manual,"{'id': 15, 'make_model_id': 3, 'year': 2023, 'name': 'Prestige S line', 'description': 'Prestige S line 2dr Coupe AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM)', 'msrp': 55950, 'invoice': 52593, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 3, 'make_id': 2, 'name': 'A5', 'make': {'id': 2, 'name': 'Audi'}}}"
16,16,mild hybrid,premium unleaded (recommended),I4,2.0,261,,273.0,,16.0,Variable,Double overhead cam (DOHC),all wheel drive,7-speed automated manual,"{'id': 16, 'make_model_id': 3, 'year': 2023, 'name': 'Premium S line', 'description': 'Premium S line 2dr Convertible AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM)', 'msrp': 52900, 'invoice': 49727, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 3, 'make_id': 2, 'name': 'A5', 'make': {'id': 2, 'name': 'Audi'}}}"
17,17,mild hybrid,premium unleaded (recommended),I4,2.0,261,,273.0,,16.0,Variable,Double overhead cam (DOHC),all wheel drive,7-speed automated manual,"{'id': 17, 'make_model_id': 3, 'year': 2023, 'name': 'Premium Plus S line', 'description': 'Premium Plus S line 2dr Convertible AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM)', 'msrp': 58500, 'invoice': 54991, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 3, 'make_id': 2, 'name': 'A5', 'make': {'id': 2, 'name': 'Audi'}}}"
18,18,mild hybrid,premium unleaded (recommended),I4,2.0,261,,273.0,,16.0,Variable,Double overhead cam (DOHC),all wheel drive,7-speed automated manual,"{'id': 18, 'make_model_id': 3, 'year': 2023, 'name': 'Prestige S line', 'description': 'Prestige S line 2dr Convertible AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM)', 'msrp': 63500, 'invoice': 59691, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 3, 'make_id': 2, 'name': 'A5', 'make': {'id': 2, 'name': 'Audi'}}}"
19,19,mild hybrid,premium unleaded (recommended),I4,2.0,201,,236.0,,16.0,Variable,Double overhead cam (DOHC),all wheel drive,7-speed automated manual,"{'id': 19, 'make_model_id': 3, 'year': 2023, 'name': 'Premium', 'description': 'Premium 4dr Hatchback AWD w/40 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM)', 'msrp': 44100, 'invoice': 41455, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 3, 'make_id': 2, 'name': 'A5', 'make': {'id': 2, 'name': 'Audi'}}}"
20,20,mild hybrid,premium unleaded (recommended),I4,2.0,201,,236.0,,16.0,Variable,Double overhead cam (DOHC),all wheel drive,7-speed automated manual,"{'id': 20, 'make_model_id': 3, 'year': 2023, 'name': 'Premium Plus', 'description': 'Premium Plus 4dr Hatchback AWD w/40 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM)', 'msrp': 49700, 'invoice': 46719, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 3, 'make_id': 2, 'name': 'A5', 'make': {'id': 2, 'name': 'Audi'}}}"
21,21,mild hybrid,premium unleaded (recommended),I4,2.0,201,,236.0,,16.0,Variable,Double overhead cam (DOHC),all wheel drive,7-speed automated manual,"{'id': 21, 'make_model_id': 3, 'year': 2023, 'name': 'Prestige', 'description': 'Prestige 4dr Hatchback AWD w/40 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM)', 'msrp': 55000, 'invoice': 51702, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 3, 'make_id': 2, 'name': 'A5', 'make': {'id': 2, 'name': 'Audi'}}}"
22,22,mild hybrid,premium unleaded (recommended),I4,2.0,261,,273.0,,16.0,Variable,Double overhead cam (DOHC),all wheel drive,7-speed automated manual,"{'id': 22, 'make_model_id': 3, 'year': 2023, 'name': 'Premium S line', 'description': 'Premium S line 4dr Hatchback AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM)', 'msrp': 46200, 'invoice': 43428, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 3, 'make_id': 2, 'name': 'A5', 'make': {'id': 2, 'name': 'Audi'}}}"
23,23,mild hybrid,premium unleaded (recommended),I4,2.0,261,,273.0,,16.0,Variable,Double overhead cam (DOHC),all wheel drive,7-speed automated manual,"{'id': 23, 'make_model_id': 3, 'year': 2023, 'name': 'Premium Plus S line', 'description': 'Premium Plus S line 4dr Hatchback AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM)', 'msrp': 51800, 'invoice': 48692, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 3, 'make_id': 2, 'name': 'A5', 'make': {'id': 2, 'name': 'Audi'}}}"
24,24,mild hybrid,premium unleaded (recommended),I4,2.0,261,,273.0,,16.0,Variable,Double overhead cam (DOHC),all wheel drive,7-speed automated manual,"{'id': 24, 'make_model_id': 3, 'year': 2023, 'name': 'Prestige S line', 'description': 'Prestige S line 4dr Hatchback AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM)', 'msrp': 56250, 'invoice': 52876, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 3, 'make_id': 2, 'name': 'A5', 'make': {'id': 2, 'name': 'Audi'}}}"
25,25,electric,electric,,,402,,490.0,,,,,all wheel drive,1-speed direct drive,"{'id': 25, 'make_model_id': 4, 'year': 2023, 'name': 'Premium', 'description': 'Premium 4dr SUV AWD (electric DD)', 'msrp': 70800, 'invoice': 66552, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 4, 'make_id': 2, 'name': 'e-tron', 'make': {'id': 2, 'name': 'Audi'}}}"
26,26,electric,electric,,,402,,490.0,,,,,all wheel drive,1-speed direct drive,"{'id': 26, 'make_model_id': 4, 'year': 2023, 'name': 'Premium Plus', 'description': 'Premium Plus 4dr SUV AWD (electric DD)', 'msrp': 77800, 'invoice': 73132, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 4, 'make_id': 2, 'name': 'e-tron', 'make': {'id': 2, 'name': 'Audi'}}}"
27,27,electric,electric,,,402,,490.0,,,,,all wheel drive,1-speed direct drive,"{'id': 27, 'make_model_id': 4, 'year': 2023, 'name': 'Chronos Edition', 'description': 'Chronos Edition 4dr SUV AWD (electric DD)', 'msrp': 86400, 'invoice': 81216, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 4, 'make_id': 2, 'name': 'e-tron', 'make': {'id': 2, 'name': 'Audi'}}}"
28,28,electric,electric,,,496,,717.0,,,,,all wheel drive,1-speed direct drive,"{'id': 28, 'make_model_id': 5, 'year': 2023, 'name': 'Premium Plus', 'description': 'Premium Plus 4dr SUV AWD (electric DD)', 'msrp': 88200, 'invoice': 82908, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 5, 'make_id': 2, 'name': 'e-tron S', 'make': {'id': 2, 'name': 'Audi'}}}"
29,29,electric,electric,,,496,,717.0,,,,,all wheel drive,1-speed direct drive,"{'id': 29, 'make_model_id': 5, 'year': 2023, 'name': 'Prestige', 'description': 'Prestige 4dr SUV AWD (electric DD)', 'msrp': 95300, 'invoice': 89583, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 5, 'make_id': 2, 'name': 'e-tron S', 'make': {'id': 2, 'name': 'Audi'}}}"
30,30,gas,regular unleaded,I4,2.0,184,4800.0,221.0,3500.0,16.0,Variable,Double overhead cam (DOHC),all wheel drive,8-speed shiftable automatic,"{'id': 30, 'make_model_id': 6, 'year': 2023, 'name': 'Premium', 'description': 'Premium 4dr SUV AWD w/40 TFSI (2.0L 4cyl Turbo 8A)', 'msrp': 36400, 'invoice': 34216, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 6, 'make_id': 2, 'name': 'Q3', 'make': {'id': 2, 'name': 'Audi'}}}"
31,31,gas,regular unleaded,I4,2.0,184,4800.0,221.0,3500.0,16.0,Variable,Double overhead cam (DOHC),all wheel drive,8-speed shiftable automatic,"{'id': 31, 'make_model_id': 6, 'year': 2023, 'name': 'Premium Plus', 'description': 'Premium Plus 4dr SUV AWD w/40 TFSI (2.0L 4cyl Turbo 8A)', 'msrp': 39700, 'invoice': 37319, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 6, 'make_id': 2, 'name': 'Q3', 'make': {'id': 2, 'name': 'Audi'}}}"
32,32,gas,regular unleaded,I4,2.0,228,6000.0,251.0,4500.0,16.0,Variable,Double overhead cam (DOHC),all wheel drive,8-speed shiftable automatic,"{'id': 32, 'make_model_id': 6, 'year': 2023, 'name': 'Premium S line', 'description': 'Premium S line 4dr SUV AWD w/45 TFSI (2.0L 4cyl Turbo 8A)', 'msrp': 38700, 'invoice': 36379, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 6, 'make_id': 2, 'name': 'Q3', 'make': {'id': 2, 'name': 'Audi'}}}"
33,33,gas,regular unleaded,I4,2.0,228,6000.0,251.0,4500.0,16.0,Variable,Double overhead cam (DOHC),all wheel drive,8-speed shiftable automatic,"{'id': 33, 'make_model_id': 6, 'year': 2023, 'name': 'Premium Plus S line', 'description': 'Premium Plus S line 4dr SUV AWD w/45 TFSI (2.0L 4cyl Turbo 8A)', 'msrp': 42000, 'invoice': 39482, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 6, 'make_id': 2, 'name': 'Q3', 'make': {'id': 2, 'name': 'Audi'}}}"
34,34,gas,regular unleaded,I4,2.0,201,,236.0,,16.0,Variable,Double overhead cam (DOHC),all wheel drive,7-speed automated manual,"{'id': 34, 'make_model_id': 7, 'year': 2023, 'name': 'Premium', 'description': 'Premium 4dr SUV AWD w/40 TFSI (2.0L 4cyl Turbo 7AM)', 'msrp': 43500, 'invoice': 40891, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 7, 'make_id': 2, 'name': 'Q5', 'make': {'id': 2, 'name': 'Audi'}}}"
35,35,gas,regular unleaded,I4,2.0,201,,236.0,,16.0,Variable,Double overhead cam (DOHC),all wheel drive,7-speed automated manual,"{'id': 35, 'make_model_id': 7, 'year': 2023, 'name': 'Premium Plus', 'description': 'Premium Plus 4dr SUV AWD w/40 TFSI (2.0L 4cyl Turbo 7AM)', 'msrp': 49000, 'invoice': 46062, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 7, 'make_id': 2, 'name': 'Q5', 'make': {'id': 2, 'name': 'Audi'}}}"
36,36,gas,regular unleaded,I4,2.0,201,,236.0,,16.0,Variable,Double overhead cam (DOHC),all wheel drive,7-speed automated manual,"{'id': 36, 'make_model_id': 7, 'year': 2023, 'name': 'Prestige', 'description': 'Prestige 4dr SUV AWD w/40 TFSI (2.0L 4cyl Turbo 7AM)', 'msrp': 54500, 'invoice': 51231, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 7, 'make_id': 2, 'name': 'Q5', 'make': {'id': 2, 'name': 'Audi'}}}"
37,37,mild hybrid,premium unleaded (required),I4,2.0,261,,273.0,,16.0,Variable,Double overhead cam (DOHC),all wheel drive,7-speed automated manual,"{'id': 37, 'make_model_id': 7, 'year': 2023, 'name': 'Premium S line', 'description': 'Premium S line 4dr SUV AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM)', 'msrp': 46000, 'invoice': 43240, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 7, 'make_id': 2, 'name': 'Q5', 'make': {'id': 2, 'name': 'Audi'}}}"
38,38,mild hybrid,premium unleaded (required),I4,2.0,261,,273.0,,16.0,Variable,Double overhead cam (DOHC),all wheel drive,7-speed automated manual,"{'id': 38, 'make_model_id': 7, 'year': 2023, 'name': 'Premium Plus S line', 'description': 'Premium Plus S line 4dr SUV AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM)', 'msrp': 51500, 'invoice': 48411, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 7, 'make_id': 2, 'name': 'Q5', 'make': {'id': 2, 'name': 'Audi'}}}"
39,39,mild hybrid,premium unleaded (required),I4,2.0,261,,273.0,,16.0,Variable,Double overhead cam (DOHC),all wheel drive,7-speed automated manual,"{'id': 39, 'make_model_id': 7, 'year': 2023, 'name': 'Prestige S line', 'description': 'Prestige S line 4dr SUV AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM)', 'msrp': 57000, 'invoice': 53580, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 7, 'make_id': 2, 'name': 'Q5', 'make': {'id': 2, 'name': 'Audi'}}}"
40,40,plug-in hybrid,premium unleaded (required),I4,2.0,362,,369.0,,16.0,Variable,Double overhead cam (DOHC),all wheel drive,7-speed automated manual,"{'id': 40, 'make_model_id': 7, 'year': 2023, 'name': 'Premium S line', 'description': 'Premium S line 4dr SUV AWD w/55 TFSI e (2.0L 4cyl Turbo gas/electric plug-in hybrid 7AM)', 'msrp': 55400, 'invoice': 52076, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 7, 'make_id': 2, 'name': 'Q5', 'make': {'id': 2, 'name': 'Audi'}}}"
41,41,plug-in hybrid,premium unleaded (required),I4,2.0,362,,369.0,,16.0,Variable,Double overhead cam (DOHC),all wheel drive,7-speed automated manual,"{'id': 41, 'make_model_id': 7, 'year': 2023, 'name': 'Premium Plus S line', 'description': 'Premium Plus S line 4dr SUV AWD w/55 TFSI e (2.0L 4cyl Turbo gas/electric plug-in hybrid 7AM)', 'msrp': 60000, 'invoice': 56400, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 7, 'make_id': 2, 'name': 'Q5', 'make': {'id': 2, 'name': 'Audi'}}}"
42,42,plug-in hybrid,premium unleaded (required),I4,2.0,362,,369.0,,16.0,Variable,Double overhead cam (DOHC),all wheel drive,7-speed automated manual,"{'id': 42, 'make_model_id': 7, 'year': 2023, 'name': 'Prestige S line', 'description': 'Prestige S line 4dr SUV AWD w/55 TFSI e (2.0L 4cyl Turbo gas/electric plug-in hybrid 7AM)', 'msrp': 65300, 'invoice': 61383, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 7, 'make_id': 2, 'name': 'Q5', 'make': {'id': 2, 'name': 'Audi'}}}"
43,43,mild hybrid,premium unleaded (required),V6,3.0,335,5000.0,369.0,1370.0,24.0,Variable,Double overhead cam (DOHC),all wheel drive,8-speed shiftable automatic,"{'id': 43, 'make_model_id': 8, 'year': 2023, 'name': 'Premium', 'description': 'Premium 4dr SUV AWD w/55 TFSI (3.0L 6cyl Turbo gas/electric mild hybrid 8A)', 'msrp': 71800, 'invoice': 67492, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 8, 'make_id': 2, 'name': 'Q8', 'make': {'id': 2, 'name': 'Audi'}}}"
44,44,mild hybrid,premium unleaded (required),V6,3.0,335,5000.0,369.0,1370.0,24.0,Variable,Double overhead cam (DOHC),all wheel drive,8-speed shiftable automatic,"{'id': 44, 'make_model_id': 8, 'year': 2023, 'name': 'Premium Plus', 'description': 'Premium Plus 4dr SUV AWD w/55 TFSI (3.0L 6cyl Turbo gas/electric mild hybrid 8A)', 'msrp': 76900, 'invoice': 72287, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 8, 'make_id': 2, 'name': 'Q8', 'make': {'id': 2, 'name': 'Audi'}}}"
45,45,mild hybrid,premium unleaded (required),V6,3.0,335,5000.0,369.0,1370.0,24.0,Variable,Double overhead cam (DOHC),all wheel drive,8-speed shiftable automatic,"{'id': 45, 'make_model_id': 8, 'year': 2023, 'name': 'Prestige', 'description': 'Prestige 4dr SUV AWD w/55 TFSI (3.0L 6cyl Turbo gas/electric mild hybrid 8A)', 'msrp': 82700, 'invoice': 77739, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 8, 'make_id': 2, 'name': 'Q8', 'make': {'id': 2, 'name': 'Audi'}}}"
46,46,gas,premium unleaded (required),I6,3.0,473,6250.0,406.0,2650.0,24.0,Variable,Double overhead cam (DOHC),rear wheel drive,6-speed manual,"{'id': 46, 'make_model_id': 9, 'year': 2023, 'name': 'M3 Base', 'description': 'M3 4dr Sedan (3.0L 6cyl Turbo 6M)', 'msrp': 72800, 'invoice': 68205, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 9, 'make_id': 3, 'name': '3 Series', 'make': {'id': 3, 'name': 'BMW'}}}"
47,47,gas,premium unleaded (required),I6,3.0,503,6250.0,479.0,2750.0,24.0,Variable,Double overhead cam (DOHC),all wheel drive,8-speed automatic,"{'id': 47, 'make_model_id': 9, 'year': 2023, 'name': 'M3 Competition xDrive', 'description': 'M3 Competition xDrive 4dr Sedan AWD (3.0L 6cyl Turbo 8A)', 'msrp': 80800, 'invoice': 75645, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 9, 'make_id': 3, 'name': '3 Series', 'make': {'id': 3, 'name': 'BMW'}}}"
48,48,gas,premium unleaded (required),I6,3.0,503,6250.0,479.0,2750.0,24.0,Variable,Double overhead cam (DOHC),rear wheel drive,8-speed automatic,"{'id': 48, 'make_model_id': 9, 'year': 2023, 'name': 'M3 Competition', 'description': 'M3 Competition 4dr Sedan (3.0L 6cyl Turbo 8A)', 'msrp': 76700, 'invoice': 71830, 'created': '2022-08-30T22:19:55-04:00', 'modified': '2022-08-30T22:19:55-04:00', 'make_model': {'id': 9, 'make_id': 3, 'name': '3 Series', 'make': {'id': 3, 'name': 'BMW'}}}"
